epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.751,2.9447,2.83053,2.11442,0.32147,0.32021,0.24895,0.09125,2.37881,2.8562,1.74238,0.0670457,0.000332872,0.000332872
2,622.792,2.2718,2.10966,1.61097,0.62208,0.53181,0.56276,0.24844,2.035,1.803,1.45426,0.0340455,0.000665961,0.000665961
3,923.852,2.06989,1.78734,1.47751,0.70388,0.60228,0.66616,0.32673,1.86953,1.62837,1.36762,0.00104424,0.000998075,0.000998075
4,1220.18,1.96429,1.6118,1.40425,0.74246,0.65064,0.71673,0.35238,1.85315,1.57572,1.34706,0.000996708,0.000996708,0.000996708
5,1513.35,1.90565,1.47794,1.35911,0.7364,0.65626,0.70204,0.33692,1.83692,1.48444,1.3283,0.000994152,0.000994152,0.000994152
6,1801.33,1.85605,1.3968,1.32764,0.78447,0.69399,0.77239,0.40202,1.74489,1.32168,1.25168,0.000990873,0.000990873,0.000990873
7,2094.6,1.82155,1.33047,1.30436,0.80011,0.74627,0.81221,0.40685,1.75384,1.25817,1.25417,0.000986876,0.000986876,0.000986876
8,2392.72,1.77822,1.25221,1.28112,0.82117,0.75864,0.82507,0.4185,1.69403,1.14417,1.22462,0.000982166,0.000982166,0.000982166
9,2683.59,1.75968,1.21453,1.26971,0.8144,0.77427,0.83714,0.46638,1.57272,1.21522,1.17881,0.000976752,0.000976752,0.000976752
10,2981.58,1.74631,1.19131,1.26168,0.83817,0.80341,0.86832,0.46424,1.61045,1.0897,1.17873,0.000970641,0.000970641,0.000970641
11,3269.47,1.73127,1.15836,1.25091,0.84312,0.76461,0.848,0.44874,1.66872,1.0595,1.20061,0.000963843,0.000963843,0.000963843
12,3559.89,1.71228,1.12583,1.23959,0.81313,0.7781,0.8351,0.46561,1.5764,1.18339,1.16848,0.000956368,0.000956368,0.000956368
13,3851.97,1.67909,1.09466,1.2305,0.85536,0.83155,0.88712,0.49874,1.55407,0.97144,1.15265,0.000948228,0.000948228,0.000948228
14,4149.31,1.67438,1.07245,1.22578,0.8357,0.81542,0.87388,0.48658,1.54697,1.03067,1.15034,0.000939436,0.000939436,0.000939436
15,4445.99,1.667,1.05637,1.21973,0.83975,0.8193,0.88109,0.50427,1.5375,0.95096,1.14857,0.000930004,0.000930004,0.000930004
16,4741.32,1.654,1.0408,1.21553,0.8443,0.82873,0.88585,0.49288,1.57754,0.96388,1.15833,0.000919948,0.000919948,0.000919948
17,5029.38,1.64188,1.02247,1.20601,0.85049,0.8354,0.89557,0.52641,1.47496,0.91079,1.11685,0.000909283,0.000909283,0.000909283
18,5320.52,1.64257,1.00667,1.20862,0.86642,0.84992,0.90633,0.50857,1.55349,0.88648,1.14789,0.000898026,0.000898026,0.000898026
19,5609.11,1.63446,1.00768,1.20368,0.87788,0.85641,0.91236,0.51535,1.53441,0.8833,1.1387,0.000886193,0.000886193,0.000886193
20,5898.16,1.61859,0.9839,1.19438,0.85813,0.84609,0.90477,0.52249,1.49666,0.90553,1.12421,0.000873803,0.000873803,0.000873803
21,6185.82,1.6182,0.98884,1.1972,0.87978,0.85709,0.91432,0.53144,1.46597,0.87066,1.11015,0.000860876,0.000860876,0.000860876
22,6474.07,1.59805,0.96498,1.19074,0.88696,0.86167,0.91995,0.53775,1.48567,0.85009,1.12636,0.00084743,0.00084743,0.00084743
23,6768.92,1.58441,0.95248,1.18328,0.8662,0.85927,0.91197,0.52712,1.49907,0.8798,1.12461,0.000833488,0.000833488,0.000833488
24,7057.81,1.58309,0.94594,1.18052,0.86566,0.86371,0.9146,0.53003,1.49037,0.85861,1.13252,0.00081907,0.00081907,0.00081907
25,7346.41,1.56483,0.92957,1.17568,0.87327,0.86606,0.92193,0.55641,1.41466,0.82575,1.09573,0.000804198,0.000804198,0.000804198
26,7646.7,1.55389,0.92296,1.17368,0.87548,0.86867,0.92143,0.54416,1.45596,0.82648,1.10777,0.000788896,0.000788896,0.000788896
27,7947.55,1.55372,0.91873,1.17138,0.87137,0.86779,0.92111,0.52712,1.50351,0.84398,1.12376,0.000773187,0.000773187,0.000773187
28,8236.81,1.55979,0.91728,1.16779,0.89442,0.87742,0.93373,0.56127,1.41888,0.79066,1.09323,0.000757095,0.000757095,0.000757095
29,8530.03,1.54844,0.9143,1.17035,0.88131,0.87001,0.92831,0.55706,1.43027,0.81095,1.09752,0.000740645,0.000740645,0.000740645
30,8815.67,1.53527,0.89526,1.15884,0.88185,0.86947,0.9264,0.56224,1.40551,0.79199,1.08898,0.000723863,0.000723863,0.000723863
